dia_simulacion;producto_codigo;producto_id;region;demanda_base;disrupcion_key;multiplicador_disrupcion;fuente;
-27;ED-750;3;Caribe;39;;1.0;sistema;
-27;ED-750;3;Orinoquía;31;;1.0;sistema;
-27;ED-750;3;Pacífica;33;;1.0;sistema;
-27;ED-1L;4;Amazonía;18;;1.0;sistema;
-27;ED-1L;4;Andina;31;;1.0;sistema;
-27;ED-1L;4;Caribe;28;;1.0;sistema;
-27;ED-1L;4;Orinoquía;20;;1.0;sistema;
-27;ED-1L;4;Pacífica;23;;1.0;sistema;
-27;SR-750;5;Amazonía;35;;1.0;sistema;
-27;SR-750;5;Andina;55;;1.0;sistema;
-27;SR-750;5;Caribe;44;;1.0;sistema;
-27;SR-750;5;Orinoquía;36;;1.0;sistema;
-27;SR-750;5;Pacífica;41;;1.0;sistema;
-27;SR-1L;6;Amazonía;26;;1.0;sistema;
-27;SR-1L;6;Andina;45;;1.0;sistema;
-27;SR-1L;6;Caribe;34;;1.0;sistema;
-27;SR-1L;6;Orinoquía;28;;1.0;sistema;
-27;SR-1L;6;Pacífica;33;;1.0;sistema;
-27;OP-750;7;Amazonía;19;;1.0;sistema;
-27;OP-750;7;Andina;31;;1.0;sistema;
-27;OP-750;7;Caribe;26;;1.0;sistema;
-27;OP-750;7;Orinoquía;21;;1.0;sistema;
-27;OP-750;7;Pacífica;23;;1.0;sistema;
-27;OP-1L;8;Amazonía;10;;1.0;sistema;
-27;OP-1L;8;Andina;24;;1.0;sistema;
-27;OP-1L;8;Caribe;18;;1.0;sistema;
-27;OP-1L;8;Orinoquía;13;;1.0;sistema;
-27;OP-1L;8;Pacífica;17;;1.0;sistema;
-26;SV-750;1;Amazonía;43;;1.0;sistema;
-26;SV-750;1;Andina;53;;1.0;sistema;
-26;SV-750;1;Caribe;52;;1.0;sistema;
-26;SV-750;1;Orinoquía;44;;1.0;sistema;
-26;SV-750;1;Pacífica;50;;1.0;sistema;
-26;SV-1L;2;Amazonía;57;;1.0;sistema;
-26;SV-1L;2;Andina;95;;1.0;sistema;
-26;SV-1L;2;Caribe;70;;1.0;sistema;
-26;SV-1L;2;Orinoquía;59;;1.0;sistema;
-26;SV-1L;2;Pacífica;68;;1.0;sistema;
-26;ED-750;3;Amazonía;52;;1.0;sistema;
-26;ED-750;3;Andina;90;;1.0;sistema;
-26;ED-750;3;Caribe;81;;1.0;sistema;
-26;ED-750;3;Orinoquía;55;;1.0;sistema;
-26;ED-750;3;Pacífica;69;;1.0;sistema;
-26;ED-1L;4;Amazonía;40;;1.0;sistema;
-26;ED-1L;4;Andina;55;;1.0;sistema;
-26;ED-1L;4;Caribe;47;;1.0;sistema;
-26;ED-1L;4;Orinoquía;44;;1.0;sistema;
-26;ED-1L;4;Pacífica;46;;1.0;sistema;
-26;SR-750;5;Amazonía;38;;1.0;sistema;
-26;SR-750;5;Andina;57;;1.0;sistema;
-26;SR-750;5;Caribe;53;;1.0;sistema;
-26;SR-750;5;Orinoquía;42;;1.0;sistema;
-26;SR-750;5;Pacífica;49;;1.0;sistema;
-26;SR-1L;6;Amazonía;38;;1.0;sistema;
-26;SR-1L;6;Andina;54;;1.0;sistema;
-26;SR-1L;6;Caribe;51;;1.0;sistema;
-26;SR-1L;6;Orinoquía;39;;1.0;sistema;
-26;SR-1L;6;Pacífica;48;;1.0;sistema;
-26;OP-750;7;Amazonía;30;;1.0;sistema;
-26;OP-750;7;Andina;54;;1.0;sistema;
-26;OP-750;7;Caribe;42;;1.0;sistema;
-26;OP-750;7;Orinoquía;34;;1.0;sistema;
-26;OP-750;7;Pacífica;37;;1.0;sistema;
-26;OP-1L;8;Amazonía;25;;1.0;sistema;
-26;OP-1L;8;Andina;50;;1.0;sistema;
-26;OP-1L;8;Caribe;40;;1.0;sistema;
-26;OP-1L;8;Orinoquía;34;;1.0;sistema;
-26;OP-1L;8;Pacífica;35;;1.0;sistema;
-25;SV-750;1;Amazonía;29;;1.0;sistema;
-25;SV-750;1;Andina;45;;1.0;sistema;
-25;SV-750;1;Caribe;39;;1.0;sistema;
-25;SV-750;1;Orinoquía;31;;1.0;sistema;
-25;SV-750;1;Pacífica;35;;1.0;sistema;
-25;SV-1L;2;Amazonía;36;;1.0;sistema;
-25;SV-1L;2;Andina;48;;1.0;sistema;
-25;SV-1L;2;Caribe;47;;1.0;sistema;
-25;SV-1L;2;Orinoquía;39;;1.0;sistema;
-25;SV-1L;2;Pacífica;44;;1.0;sistema;
-25;ED-750;3;Amazonía;24;;1.0;sistema;
-25;ED-750;3;Andina;41;;1.0;sistema;
-25;ED-750;3;Caribe;34;;1.0;sistema;
-25;ED-750;3;Orinoquía;27;;1.0;sistema;
-25;ED-750;3;Pacífica;30;;1.0;sistema;
-25;ED-1L;4;Amazonía;29;;1.0;sistema;
-25;ED-1L;4;Andina;49;;1.0;sistema;
-25;ED-1L;4;Caribe;41;;1.0;sistema;
-25;ED-1L;4;Orinoquía;30;;1.0;sistema;
-25;ED-1L;4;Pacífica;35;;1.0;sistema;
-25;SR-750;5;Amazonía;31;;1.0;sistema;
-25;SR-750;5;Andina;49;;1.0;sistema;
-25;SR-750;5;Caribe;48;;1.0;sistema;
-25;SR-750;5;Orinoquía;42;;1.0;sistema;
-25;SR-750;5;Pacífica;44;;1.0;sistema;
-25;SR-1L;6;Amazonía;34;;1.0;sistema;
-25;SR-1L;6;Andina;51;;1.0;sistema;
-25;SR-1L;6;Caribe;42;;1.0;sistema;
-25;SR-1L;6;Orinoquía;37;;1.0;sistema;
-25;SR-1L;6;Pacífica;41;;1.0;sistema;
-25;OP-750;7;Amazonía;30;;1.0;sistema;
-25;OP-750;7;Andina;53;;1.0;sistema;
-25;OP-750;7;Caribe;47;;1.0;sistema;
-25;OP-750;7;Orinoquía;34;;1.0;sistema;
-25;OP-750;7;Pacífica;37;;1.0;sistema;
-25;OP-1L;8;Amazonía;20;;1.0;sistema;
-25;OP-1L;8;Andina;44;;1.0;sistema;
-25;OP-1L;8;Caribe;34;;1.0;sistema;
-25;OP-1L;8;Orinoquía;24;;1.0;sistema;
-25;OP-1L;8;Pacífica;29;;1.0;sistema;
-24;SV-750;1;Amazonía;44;;1.0;sistema;
-24;SV-750;1;Andina;56;;1.0;sistema;
-24;SV-750;1;Caribe;53;;1.0;sistema;
-24;SV-750;1;Orinoquía;45;;1.0;sistema;
-24;SV-750;1;Pacífica;50;;1.0;sistema;
-24;SV-1L;2;Amazonía;24;;1.0;sistema;
-24;SV-1L;2;Andina;51;;1.0;sistema;
-24;SV-1L;2;Caribe;41;;1.0;sistema;
-24;SV-1L;2;Orinoquía;28;;1.0;sistema;
-24;SV-1L;2;Pacífica;36;;1.0;sistema;
-24;ED-750;3;Amazonía;37;;1.0;sistema;
-24;ED-750;3;Andina;60;;1.0;sistema;
-24;ED-750;3;Caribe;58;;1.0;sistema;
-24;ED-750;3;Orinoquía;44;;1.0;sistema;
-24;ED-750;3;Pacífica;46;;1.0;sistema;
-24;ED-1L;4;Amazonía;16;;1.0;sistema;
-24;ED-1L;4;Andina;28;;1.0;sistema;
-24;ED-1L;4;Caribe;24;;1.0;sistema;
-24;ED-1L;4;Orinoquía;18;;1.0;sistema;
-24;ED-1L;4;Pacífica;20;;1.0;sistema;
-24;SR-750;5;Amazonía;32;;1.0;sistema;
-24;SR-750;5;Andina;57;;1.0;sistema;
-24;SR-750;5;Caribe;43;;1.0;sistema;
-24;SR-750;5;Orinoquía;36;;1.0;sistema;
-24;SR-750;5;Pacífica;40;;1.0;sistema;
-24;SR-1L;6;Amazonía;17;;1.0;sistema;
-24;SR-1L;6;Andina;34;;1.0;sistema;
-24;SR-1L;6;Caribe;28;;1.0;sistema;
-24;SR-1L;6;Orinoquía;20;;1.0;sistema;
-24;SR-1L;6;Pacífica;22;;1.0;sistema;
-24;OP-750;7;Amazonía;29;;1.0;sistema;
-24;OP-750;7;Andina;55;;1.0;sistema;
-24;OP-750;7;Caribe;38;;1.0;sistema;
-24;OP-750;7;Orinoquía;31;;1.0;sistema;
-24;OP-750;7;Pacífica;34;;1.0;sistema;
-24;OP-1L;8;Amazonía;34;;1.0;sistema;
-24;OP-1L;8;Andina;48;;1.0;sistema;
-24;OP-1L;8;Caribe;44;;1.0;sistema;
-24;OP-1L;8;Orinoquía;38;;1.0;sistema;
-24;OP-1L;8;Pacífica;42;;1.0;sistema;
-23;SV-750;1;Amazonía;27;;1.0;sistema;
-23;SV-750;1;Andina;46;;1.0;sistema;
-23;SV-750;1;Caribe;43;;1.0;sistema;
-23;SV-750;1;Orinoquía;30;;1.0;sistema;
-23;SV-750;1;Pacífica;31;;1.0;sistema;
-23;SV-1L;2;Amazonía;25;;1.0;sistema;
-23;SV-1L;2;Andina;53;;1.0;sistema;
-23;SV-1L;2;Caribe;46;;1.0;sistema;
-23;SV-1L;2;Orinoquía;33;;1.0;sistema;
-23;SV-1L;2;Pacífica;35;;1.0;sistema;
-23;ED-750;3;Amazonía;25;;1.0;sistema;
-23;ED-750;3;Andina;46;;1.0;sistema;
-23;ED-750;3;Caribe;37;;1.0;sistema;
-23;ED-750;3;Orinoquía;30;;1.0;sistema;
-23;ED-750;3;Pacífica;33;;1.0;sistema;
-23;ED-1L;4;Amazonía;43;;1.0;sistema;
-23;ED-1L;4;Andina;55;;1.0;sistema;
-23;ED-1L;4;Caribe;54;;1.0;sistema;
-23;ED-1L;4;Orinoquía;45;;1.0;sistema;
-23;ED-1L;4;Pacífica;47;;1.0;sistema;
-23;SR-750;5;Amazonía;22;;1.0;sistema;
-23;SR-750;5;Andina;35;;1.0;sistema;
-23;SR-750;5;Caribe;33;;1.0;sistema;
-23;SR-750;5;Orinoquía;26;;1.0;sistema;
-23;SR-750;5;Pacífica;27;;1.0;sistema;
-23;SR-1L;6;Amazonía;31;;1.0;sistema;
-23;SR-1L;6;Andina;54;;1.0;sistema;
-23;SR-1L;6;Caribe;47;;1.0;sistema;
-23;SR-1L;6;Orinoquía;36;;1.0;sistema;
-23;SR-1L;6;Pacífica;42;;1.0;sistema;
-23;OP-750;7;Amazonía;27;;1.0;sistema;
-23;OP-750;7;Andina;49;;1.0;sistema;
-23;OP-750;7;Caribe;42;;1.0;sistema;
-23;OP-750;7;Orinoquía;30;;1.0;sistema;
-23;OP-750;7;Pacífica;31;;1.0;sistema;
-23;OP-1L;8;Amazonía;25;;1.0;sistema;
-23;OP-1L;8;Andina;41;;1.0;sistema;
-23;OP-1L;8;Caribe;40;;1.0;sistema;
-23;OP-1L;8;Orinoquía;29;;1.0;sistema;
-23;OP-1L;8;Pacífica;34;;1.0;sistema;
-22;SV-750;1;Amazonía;31;;1.0;sistema;
-22;SV-750;1;Andina;60;;1.0;sistema;
-22;SV-750;1;Caribe;49;;1.0;sistema;
-22;SV-750;1;Orinoquía;35;;1.0;sistema;
-22;SV-750;1;Pacífica;38;;1.0;sistema;
-22;SV-1L;2;Amazonía;20;;1.0;sistema;
-22;SV-1L;2;Andina;46;;1.0;sistema;
-22;SV-1L;2;Caribe;43;;1.0;sistema;
-22;SV-1L;2;Orinoquía;29;;1.0;sistema;
-22;SV-1L;2;Pacífica;38;;1.0;sistema;
-22;ED-750;3;Amazonía;42;;1.0;sistema;
-22;ED-750;3;Andina;60;;1.0;sistema;
-22;ED-750;3;Caribe;57;;1.0;sistema;
-22;ED-750;3;Orinoquía;43;;1.0;sistema;
-22;ED-750;3;Pacífica;47;;1.0;sistema;
-22;ED-1L;4;Amazonía;37;;1.0;sistema;
-22;ED-1L;4;Andina;56;;1.0;sistema;
-22;ED-1L;4;Caribe;46;;1.0;sistema;
-22;ED-1L;4;Orinoquía;41;;1.0;sistema;
-22;ED-1L;4;Pacífica;42;;1.0;sistema;
-22;SR-750;5;Amazonía;32;;1.0;sistema;
-22;SR-750;5;Andina;60;;1.0;sistema;
-22;SR-750;5;Caribe;48;;1.0;sistema;
-22;SR-750;5;Orinoquía;36;;1.0;sistema;
-22;SR-750;5;Pacífica;40;;1.0;sistema;
-22;SR-1L;6;Amazonía;22;;1.0;sistema;
-22;SR-1L;6;Andina;58;;1.0;sistema;
-22;SR-1L;6;Caribe;47;;1.0;sistema;
-22;SR-1L;6;Orinoquía;28;;1.0;sistema;
-22;SR-1L;6;Pacífica;33;;1.0;sistema;
-22;OP-750;7;Amazonía;44;;1.0;sistema;
-22;OP-750;7;Andina;71;;1.0;sistema;
-22;OP-750;7;Caribe;62;;1.0;sistema;
-22;OP-750;7;Orinoquía;50;;1.0;sistema;
-22;OP-750;7;Pacífica;52;;1.0;sistema;
-22;OP-1L;8;Amazonía;44;;1.0;sistema;
-22;OP-1L;8;Andina;60;;1.0;sistema;
-22;OP-1L;8;Caribe;50;;1.0;sistema;
-22;OP-1L;8;Orinoquía;45;;1.0;sistema;
-22;OP-1L;8;Pacífica;49;;1.0;sistema;
-21;SV-750;1;Amazonía;32;;1.0;sistema;
-21;SV-750;1;Andina;45;;1.0;sistema;
-21;SV-750;1;Caribe;42;;1.0;sistema;
-21;SV-750;1;Orinoquía;37;;1.0;sistema;
-21;SV-750;1;Pacífica;39;;1.0;sistema;
-21;SV-1L;2;Amazonía;28;;1.0;sistema;
-21;SV-1L;2;Andina;51;;1.0;sistema;
-21;SV-1L;2;Caribe;41;;1.0;sistema;
-21;SV-1L;2;Orinoquía;29;;1.0;sistema;
-21;SV-1L;2;Pacífica;35;;1.0;sistema;
-21;ED-750;3;Amazonía;30;;1.0;sistema;
-21;ED-750;3;Andina;46;;1.0;sistema;
-21;ED-750;3;Caribe;38;;1.0;sistema;
-21;ED-750;3;Orinoquía;34;;1.0;sistema;
-21;ED-750;3;Pacífica;35;;1.0;sistema;
-21;ED-1L;4;Amazonía;42;;1.0;sistema;
-21;ED-1L;4;Andina;64;;1.0;sistema;
-21;ED-1L;4;Caribe;61;;1.0;sistema;
-21;ED-1L;4;Orinoquía;46;;1.0;sistema;
-21;ED-1L;4;Pacífica;53;;1.0;sistema;
-21;SR-750;5;Amazonía;26;;1.0;sistema;
-21;SR-750;5;Andina;44;;1.0;sistema;
-21;SR-750;5;Caribe;37;;1.0;sistema;
-21;SR-750;5;Orinoquía;30;;1.0;sistema;
-21;SR-750;5;Pacífica;36;;1.0;sistema;
-21;SR-1L;6;Amazonía;28;;1.0;sistema;
-21;SR-1L;6;Andina;44;;1.0;sistema;
-21;SR-1L;6;Caribe;37;;1.0;sistema;
-21;SR-1L;6;Orinoquía;31;;1.0;sistema;
-21;SR-1L;6;Pacífica;32;;1.0;sistema;
-21;OP-750;7;Amazonía;25;;1.0;sistema;
-21;OP-750;7;Andina;43;;1.0;sistema;
-21;OP-750;7;Caribe;40;;1.0;sistema;
-21;OP-750;7;Orinoquía;31;;1.0;sistema;
-21;OP-750;7;Pacífica;35;;1.0;sistema;
-21;OP-1L;8;Amazonía;34;;1.0;sistema;
-21;OP-1L;8;Andina;48;;1.0;sistema;
-21;OP-1L;8;Caribe;43;;1.0;sistema;
-21;OP-1L;8;Orinoquía;38;;1.0;sistema;
-21;OP-1L;8;Pacífica;39;;1.0;sistema;
-20;SV-750;1;Amazonía;30;;1.0;sistema;
-20;SV-750;1;Andina;52;;1.0;sistema;
-20;SV-750;1;Caribe;38;;1.0;sistema;
-20;SV-750;1;Orinoquía;31;;1.0;sistema;
-20;SV-750;1;Pacífica;35;;1.0;sistema;
-20;SV-1L;2;Amazonía;40;;1.0;sistema;
-20;SV-1L;2;Andina;57;;1.0;sistema;
-20;SV-1L;2;Caribe;53;;1.0;sistema;
-20;SV-1L;2;Orinoquía;42;;1.0;sistema;
-20;SV-1L;2;Pacífica;44;;1.0;sistema;
-20;ED-750;3;Amazonía;22;;1.0;sistema;
-20;ED-750;3;Andina;42;;1.0;sistema;
-20;ED-750;3;Caribe;35;;1.0;sistema;
-20;ED-750;3;Orinoquía;26;;1.0;sistema;
-20;ED-750;3;Pacífica;29;;1.0;sistema;
-20;ED-1L;4;Amazonía;30;;1.0;sistema;
-20;ED-1L;4;Andina;47;;1.0;sistema;
-20;ED-1L;4;Caribe;41;;1.0;sistema;
-20;ED-1L;4;Orinoquía;34;;1.0;sistema;
-20;ED-1L;4;Pacífica;37;;1.0;sistema;
-20;SR-750;5;Amazonía;26;;1.0;sistema;
-20;SR-750;5;Andina;45;;1.0;sistema;
-20;SR-750;5;Caribe;36;;1.0;sistema;
-20;SR-750;5;Orinoquía;29;;1.0;sistema;
-20;SR-750;5;Pacífica;33;;1.0;sistema;
-20;SR-1L;6;Amazonía;29;;1.0;sistema;
-20;SR-1L;6;Andina;46;;1.0;sistema;
-20;SR-1L;6;Caribe;41;;1.0;sistema;
-20;SR-1L;6;Orinoquía;32;;1.0;sistema;
-20;SR-1L;6;Pacífica;35;;1.0;sistema;
-20;OP-750;7;Amazonía;20;;1.0;sistema;
-20;OP-750;7;Andina;44;;1.0;sistema;
-20;OP-750;7;Caribe;37;;1.0;sistema;
-20;OP-750;7;Orinoquía;21;;1.0;sistema;
-20;OP-750;7;Pacífica;26;;1.0;sistema;
-20;OP-1L;8;Amazonía;31;;1.0;sistema;
-20;OP-1L;8;Andina;48;;1.0;sistema;
-20;OP-1L;8;Caribe;42;;1.0;sistema;
-20;OP-1L;8;Orinoquía;39;;1.0;sistema;
-20;OP-1L;8;Pacífica;40;;1.0;sistema;
-19;SV-750;1;Amazonía;36;;1.0;sistema;
-19;SV-750;1;Andina;60;;1.0;sistema;
-19;SV-750;1;Caribe;53;;1.0;sistema;
-19;SV-750;1;Orinoquía;41;;1.0;sistema;
-19;SV-750;1;Pacífica;46;;1.0;sistema;
-19;SV-1L;2;Amazonía;36;;1.0;sistema;
-19;SV-1L;2;Andina;60;;1.0;sistema;
-19;SV-1L;2;Caribe;53;;1.0;sistema;
-19;SV-1L;2;Orinoquía;37;;1.0;sistema;
-19;SV-1L;2;Pacífica;45;;1.0;sistema;
-19;ED-750;3;Amazonía;34;;1.0;sistema;
-19;ED-750;3;Andina;54;;1.0;sistema;
-19;ED-750;3;Caribe;45;;1.0;sistema;
-19;ED-750;3;Orinoquía;39;;1.0;sistema;
-19;ED-750;3;Pacífica;41;;1.0;sistema;
-19;ED-1L;4;Amazonía;35;;1.0;sistema;
-19;ED-1L;4;Andina;50;;1.0;sistema;
-19;ED-1L;4;Caribe;47;;1.0;sistema;
-19;ED-1L;4;Orinoquía;36;;1.0;sistema;
-19;ED-1L;4;Pacífica;46;;1.0;sistema;
-19;SR-750;5;Amazonía;33;;1.0;sistema;
-19;SR-750;5;Andina;48;;1.0;sistema;
-19;SR-750;5;Caribe;44;;1.0;sistema;
-19;SR-750;5;Orinoquía;37;;1.0;sistema;
-19;SR-750;5;Pacífica;41;;1.0;sistema;
-19;SR-1L;6;Amazonía;26;;1.0;sistema;
-19;SR-1L;6;Andina;56;;1.0;sistema;
-19;SR-1L;6;Caribe;41;;1.0;sistema;
-19;SR-1L;6;Orinoquía;27;;1.0;sistema;
-19;SR-1L;6;Pacífica;33;;1.0;sistema;
-19;OP-750;7;Amazonía;31;;1.0;sistema;
-19;OP-750;7;Andina;50;;1.0;sistema;
-19;OP-750;7;Caribe;41;;1.0;sistema;
-19;OP-750;7;Orinoquía;34;;1.0;sistema;
-19;OP-750;7;Pacífica;35;;1.0;sistema;
-19;OP-1L;8;Amazonía;33;;1.0;sistema;
-19;OP-1L;8;Andina;58;;1.0;sistema;
-19;OP-1L;8;Caribe;55;;1.0;sistema;
-19;OP-1L;8;Orinoquía;38;;1.0;sistema;
-19;OP-1L;8;Pacífica;44;;1.0;sistema;
-18;SV-750;1;Amazonía;37;;1.0;sistema;
-18;SV-750;1;Andina;59;;1.0;sistema;
-18;SV-750;1;Caribe;48;;1.0;sistema;
-18;SV-750;1;Orinoquía;43;;1.0;sistema;
-18;SV-750;1;Pacífica;47;;1.0;sistema;
-18;SV-1L;2;Amazonía;23;;1.0;sistema;
-18;SV-1L;2;Andina;49;;1.0;sistema;
-18;SV-1L;2;Caribe;39;;1.0;sistema;
-18;SV-1L;2;Orinoquía;28;;1.0;sistema;
-18;SV-1L;2;Pacífica;37;;1.0;sistema;
-18;ED-750;3;Amazonía;24;;1.0;sistema;
-18;ED-750;3;Andina;45;;1.0;sistema;
-18;ED-750;3;Caribe;39;;1.0;sistema;
-18;ED-750;3;Orinoquía;29;;1.0;sistema;
